casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,hour,minute,day,lon,lat
2018-00020192,1,19 Barry Rd,2,Warrant\Capias,2018-02-25 20:48:00,DPfeiffer,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2018,20,48,25,-71.4520772591722,41.8179281840026
2017-00123220,1,800 Douglas Ave,11,Disorderly Conduct,2017-11-23 00:56:00,JPineau,11-45-1,DISORDERLY CONDUCT,2017,0,56,23,-71.43458869999998,41.8506516
2017-00111994,1,1 Providence Pl,10,"Assault, Simple",2017-10-25 15:25:00,ADoucette,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,15,25,25,-71.4166245,41.827677
2017-00119680,1,250 Cranston St,11,"Larceny, Shoplifting",2017-11-13 21:29:00,GSion,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2017,21,29,13,-71.4277192,41.8132105
2017-00130505,1,161 Petteys Ave,12,Disorderly Conduct,2017-12-13 11:48:23,KLafazia,11-45-1,DISORDERLY CONDUCT,2017,11,48,13,-71.4611723,41.8174757
2018-00008175,1,Wexchangeatfrancis ,1,Traffic Violation,2018-01-24 01:36:00,RCriner,31-47-9,Operating a MV without Evidence of Insurance,2018,1,36,24,,
2017-00130731,0,14 Veazie St,12,Animal Bite,2017-12-13 23:20:44,JBibeault,Not Used,No violations,2017,23,20,13,-71.4300478931262,41.8466249201299
2018-00007155,1,10 Memorial Blvd,1,Peeping Tom,2018-01-21 03:30:00,ITorres,11-64-2(2),VIDEO VOYEURISM - PEEPINGTOM,2018,3,30,21,-71.4149874,41.8265393
2018-00014624,0,24 Tappan St,2,Missing Persons,2018-02-10 16:17:00,Central Station,Not Used,No violations,2018,16,17,10,-71.42720299674359,41.846159399723
2018-00007155,1,10 Memorial Blvd,1,Peeping Tom,2018-01-21 03:30:00,ITorres,11-64-2(2),VIDEO VOYEURISM - PEEPINGTOM,2018,3,30,21,-71.4149874,41.8265393
2017-00121542,1,10 Dorrance St,11,"Larceny, Other",2017-11-18 19:25:00,NManfredi,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,19,25,18,-71.4117212,41.8240521
2017-00111974,1,16 What Cheer Ave,10,RI Statute Violation,2017-10-25 14:28:00,EGreene,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,2017,14,28,25,-71.45607790000003,41.8070292
2017-00123238,0,Douglas Ave At Berkshire St,11,Suspicious Person,2017-11-23 01:43:00,JPineau,Not Used,No violations,2017,1,43,23,,
2017-00105024,1,Eastwood Ave At Laurel Hill Ave,10,Drug Offenses,2017-10-07 20:23:00,LMarroquin,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,2017,20,23,7,,
2018-00014128,0,1688 Westminster St,2,Request for Assistance,2018-02-09 10:49:58,JDalton,Not Used,No violations,2018,10,49,9,-71.4379936720451,41.8157110296985
2017-00105101,1,99 Kennedy Plz,10,Warrant\Capias,2017-10-08 00:09:00,TRichards,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2017,0,9,8,-71.4096412,41.82663820000001
2018-00000908,0,Elmwood Ave At Peace St,1,Juvenile Matter,2018-01-03 16:28:00,Central Station,Not Used,No violations,2018,16,28,3,,
2017-00130724,1,44 Redwing St,12,RI Statute Violation,2017-12-13 22:53:00,MPlace,11-59-3,VIOLATION OF RESTRAINING ORDER,2017,22,53,13,-71.42802126045541,41.799098037821295
2018-00007851,1,Meeting St At Hope St,1,Vandalism,2018-01-23 08:23:00,Central Station,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,8,23,23,,
2017-00111974,2,16 What Cheer Ave,10,"Assault, Simple",2017-10-25 14:28:00,EGreene,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,14,28,25,-71.45607790000003,41.8070292
2018-00008051,1,43 Eldridge Street ,1,"Fraud, Swindle",2018-01-23 18:40:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,18,40,23,-71.380262053465,41.8916323235134
2018-00007555,1,Harris Ave At Sims Ave,1,Traffic Violation,2018-01-22 13:16:45,FLopez,31-13-4,Obedience to Traffic Control Devices,2018,13,16,22,,
2018-00020195,1,61 Carolina Ave,2,"Assault, Simple",2018-02-25 20:59:00,JButen,11-5-3,SIMPLE ASSAULT/BATTERY-3RD OFFENSE,2018,20,59,25,-71.3952631,41.7920731
2018-00019720,0,245 Waterman St,2,Property Damage,2018-02-24 12:50:22,BCorcoran,Not Used,No violations,2018,12,50,24,-71.38708940000002,41.8279826
2017-00130319,1,820 Atwells Ave,12,RI Statute Violation,2017-12-12 22:04:00,MSepe,12-29-4,VIOLATION -NO CONTACT ORDER,2017,22,4,12,-71.4442466923077,41.8247486923077
2017-00500378,1,178 Rhodes St,12,"Larceny, Other",2017-12-12 13:01:30,CSical,11-41-1,LARCENY/U $1500 - OTH LAR,2017,13,1,12,-71.4062903,41.8084412
2017-00129994,1,17 Rockingham St,12,RI Statute Violation,2017-12-11 23:50:00,LVadney,11-1-6,CONSPIRACY - ALL OTH OFFENSE,2017,23,50,11,-71.4438834764555,41.8264720975004
2017-00130567,2,20 Luongo Memorial Sq,12,Vandalism,2017-12-13 14:33:00,BMurphy,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,14,33,13,,
2017-00123143,0,627 Cranston St,11,Medical Aid,2017-11-22 20:28:00,LPelaez,Not Used,No violations,2017,20,28,22,-71.43639759999998,41.80680770000001
2017-00130454,0,103 Lloyd Ave,12,Alarm-Residental,2017-12-13 09:42:19,WMann,Not Used,No violations,2017,9,42,13,-71.4029358,41.831228
2018-00020083,1,42 Ponagansett Ave,2,Statutory Rape,2018-02-25 13:50:03,MChasse,11-37-6,SEXUAL ASSAULT - 3RD DEGREE,2018,13,50,25,-71.4584727306767,41.81993697719179
2017-00112051,1,530 N  Main St,10,"Fraud, Swindle",2017-10-25 17:25:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,17,25,25,-71.4101477306272,41.8357378746666
2018-00007912,0,674 Prairie Ave,1,Juvenile Matter,2018-01-23 12:23:00,ITavarez,Not Used,No violations,2018,12,23,23,-71.4103178489799,41.7952871602169
2018-00007849,0,122 Allston St,1,Narcotics Violation,2018-01-22 14:00:00,SLafferty,Not Used,No violations,2018,14,0,22,-71.4376501,41.8295477
2017-00104753,1,25 Flower St,10,Traffic Violation,2017-10-07 04:24:00,FTavares,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,4,24,7,-71.4565762970267,41.819100904109
2017-00111901,1,93 Huron St,10,"Fraud, Swindle",2017-10-25 10:52:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,10,52,25,-71.440946,41.8275859375
2017-00130567,1,20 Luongo Memorial Sq,12,"Assault, Simple",2017-12-13 14:33:00,BMurphy,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,14,33,13,,
2018-00000820,1,204 Hartford Ave,1,Larceny from Motor Vehicle,2018-01-03 12:01:24,EChin,11-41-1,LARCENY/U $1500 - FROM MV,2018,12,1,3,-71.4493032,41.8164338
2017-00130455,1,101 Ford St,12,"Assault, Simple",2017-12-13 09:43:00,MMaycock,11-5-3,SIMPLE ASSAULT/BATTERY,2017,9,43,13,-71.431625,41.8097682
2018-00020056,1,474 Branch Ave,2,"Assault, Simple",2018-02-25 11:22:00,EFernandez,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,11,22,25,-71.4212487,41.8505178
2017-00123185,1,134 Lowell Ave,11,Weapons,2017-11-22 23:21:00,VLaBianca,11-47-8-A,LICENSE OR PERMIT REQUIRED FOR CARRYING PISTOL,2017,23,21,22,-71.458756926888,41.812385586971295
2018-00020174,1,Hartford Ave At 6 ,2,DUI,2018-02-25 19:37:00,CVingi,31-27-2.1,Chemical Test Refusal,2018,19,37,25,-71.4647418,41.8194601
2018-00020159,1,769 Broad St,2,Motor Vehicle Theft,2018-02-25 18:48:00,ASchneider,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,18,48,25,-71.4193915,41.8030484
2017-00500370,1,5 Bodell Ave,12,"Fraud, Swindle",2017-12-13 22:21:21,CSical,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,22,21,13,-71.4525135814158,41.8167245754243
2018-00020250,1,11 Dorrance St,2,"Assault, Simple",2018-02-26 01:00:00,AGroot,11-5-3,SIMPLE ASSAULT/BATTERY,2018,1,0,26,-71.4134483,41.8243881
2018-00020231,1,Harris Ave ,2,Traffic Violation,2018-02-25 23:53:00,CBeach,31-3-1,Operation of Unregistered Vehicle,2018,23,53,25,-71.4190557,41.8278061
2017-00130692,1,Julian St At Kossuth St,12,Drug Offenses,2017-12-13 20:36:00,MSepe,21-28-4.01-C2-(iii),POSSESSION OF MARIJUANA 1OZ OR LESS OVER 18 YEARS OF AGE,2017,20,36,13,,
2017-00112150,1,318 Manton Ave,10,"Assault, Aggravated",2017-10-25 21:27:00,YGonzalez,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2017,21,27,25,-71.450628125,41.82290625
2017-00130515,1,117 Ontario St,12,"Fraud, Swindle",2017-12-13 12:14:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,12,14,13,-71.4219557,41.7993062
2017-00130680,1,368 Hawkins St,12,Burglary,2017-12-13 19:51:00,YGonzalez,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2017,19,51,13,-71.417828,41.8521791
2017-00104814,1,100 Plainfield St,10,Burglary,2017-10-07 10:54:00,GKue,11-8-5.1,B&E BUILDING OR SHIP DURING DAYTIME,2017,10,54,7,-71.445181,41.8159984
2017-00112040,0,140 Benedict St,10,Suspicious Person,2017-10-25 16:55:00,LPelaez,Not Used,No violations,2017,16,55,25,-71.43811190000002,41.8054482
2018-00020176,1,132 Humboldt Ave,2,Burglary,2018-02-25 19:36:00,NManfredi,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2018,19,36,25,-71.3877286,41.8326209
2017-00130455,1,101 Ford St,12,Vandalism,2017-12-13 09:43:00,MMaycock,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,2017,9,43,13,-71.431625,41.8097682
2018-00020107,1,1 Providence Pl,2,Larceny from Motor Vehicle,2018-02-25 15:47:28,GMorgan,11-41-1,LARCENY/O $1500 - FROM MV,2018,15,47,25,-71.4166245,41.827677
2017-00104988,0,87 Barstow St,10,Request for Assistance,2017-10-07 18:48:02,KMelfi,Not Used,No violations,2017,18,48,7,-71.44249559999999,41.8242856
2017-00119475,0,106 Hanover St,11,Request for Assistance,2017-11-13 09:52:11,TGomes,Not Used,No violations,2017,9,52,13,-71.4292753,41.8080976
2017-00123148,0,51 Rill St,11,Request for Assistance,2017-11-22 20:47:00,Central Station,Not Used,No violations,2017,20,47,22,-71.4388373,41.8282052
2017-00123185,1,134 Lowell Ave,11,Forgery,2017-11-22 23:21:00,VLaBianca,11-47-24,ALTER OF MARKS OF IDENTIFICATION ON A FIREARM - COUNTERFEIT/FOR,2017,23,21,22,-71.458756926888,41.812385586971295
2017-00130319,1,820 Atwells Ave,12,Burglary,2017-12-12 22:04:00,MSepe,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2017,22,4,12,-71.4442466923077,41.8247486923077
2017-00104957,1,200 Chad Brown St,10,Vandalism,2017-10-07 18:04:00,JButen,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,18,4,7,-71.4253197,41.8398746
2017-00130626,0,Potters Avenue ,12,Lost Article,2017-12-13 17:21:00,Central Station,Not Used,No violations,2017,17,21,13,-71.42199699999998,41.80204000000001
2017-00123133,1,333 W  River St,11,"Larceny, Shoplifting",2017-11-22 19:55:00,DImpagliazzo,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2017,19,55,22,-71.4130261636175,41.846255495992104
2018-00020143,1,1 Providence Pl,2,"Larceny, Shoplifting",2018-02-25 18:04:35,GMorgan,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2018,18,4,25,-71.4166245,41.827677
2018-00007835,1,417 Potters Ave,1,Larceny from Building,2018-01-23 06:21:00,CBenoit,11-41-1,LARCENY/U $1500 - FROM BLD,2018,6,21,23,-71.42240550000002,41.8021075
2018-00008120,0,24 Tappan St,1,Missing Persons,2018-01-23 23:00:00,Central Station,Not Used,No violations,2018,23,0,23,-71.42720299674359,41.846159399723
2018-00006166,1,635 North Main St ,1,"Larceny, Other",2018-01-18 12:43:10,WHutchinson,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,12,43,18,-71.4090016,41.83886432
2018-00007969,1,10 Monticello St,1,Forgery,2018-01-23 15:28:00,ZSilbert,11-47-24,ALTER OF MARKS OF IDENTIFICATION ON A FIREARM - COUNTERFEIT/FOR,2018,15,28,23,-71.4214178349905,41.851443059421705
2017-00119511,1,145 Magnolia St,11,"Assault, Simple",2017-11-13 11:58:37,JKane,11-5-3,SIMPLE ASSAULT/BATTERY,2017,11,58,13,-71.4463503,41.8130571
2018-00014664,1,28 Ringgold St,2,RI Statute Violation,2018-02-10 18:10:00,BBoudreau,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,2018,18,10,10,-71.42385,41.8218112
2018-00014664,1,28 Ringgold St,2,RI Statute Violation,2018-02-10 18:10:00,BBoudreau,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,2018,18,10,10,-71.42385,41.8218112
2018-00014664,1,28 Ringgold St,2,RI Statute Violation,2018-02-10 18:10:00,BBoudreau,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,2018,18,10,10,-71.42385,41.8218112
2018-00014664,1,28 Ringgold St,2,RI Statute Violation,2018-02-10 18:10:00,BBoudreau,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,2018,18,10,10,-71.42385,41.8218112
2017-00105132,1,819 Atwells Ave,10,RI Statute Violation,2017-10-08 01:04:00,JLopes,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,2017,1,4,8,-71.44427515384609,41.8249151538462
2018-00000371,1,20 Clematis St,1,Motor Vehicle Theft,2018-01-02 01:21:22,RJones,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,1,21,2,-71.4461558,41.833276700000006
2017-00130724,1,44 Redwing St,12,Drug Offenses,2017-12-13 22:53:00,MPlace,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,2017,22,53,13,-71.42802126045541,41.799098037821295
2017-00130571,1,44 Washington St,12,Tresspassing,2017-12-13 15:18:00,TRichards,11-44-26,WILLFUL TRESPASS,2017,15,18,13,-71.41448395,41.82315395
2018-00008159,1,33 Barstow St,1,Drug Offenses,2018-01-24 00:43:00,CSical,21-28-4.01-C2-(iii),POSSESSION OF MARIJUANA 1OZ OR LESS OVER 18 YEARS OF AGE,2018,0,43,24,-71.4406853,41.824178
2018-00014700,1,6 Olneyville Sq,2,Vandalism,2018-02-10 20:02:00,MCamardo,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,20,2,10,-71.443623125,41.816648125
2018-00008075,1,Hartford Ave At Plainfield St,1,Drug Offenses,2018-01-23 19:53:00,DPfeiffer,21-28-4.01-C2-(iii),POSSESSION OF MARIJUANA 1OZ OR LESS OVER 18 YEARS OF AGE,2018,19,53,23,,
2017-00130505,1,161 Petteys Ave,12,Vandalism,2017-12-13 11:48:23,KLafazia,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,11,48,13,-71.4611723,41.8174757
2018-00000990,1,152 Cornwall St,1,Disorderly Conduct,2018-01-03 20:05:00,Central Station,11-45-1,DISORDERLY CONDUCT,2018,20,5,3,-71.42440400000002,41.8484042
2017-00130632,1,7 Providence Pl,12,"Larceny, Shoplifting",2017-12-13 17:31:00,GKue,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2017,17,31,13,-71.4223156153846,41.8286493076923
2018-00007937,1,660 Public St,1,Disorderly Conduct,2018-01-23 13:49:51,KWigginton,11-45-1,DISORDERLY CONDUCT,2018,13,49,23,-71.4237549,41.8026472
2018-00018143,1,Nashua St At Caroline St,2,Larceny from Motor Vehicle,2018-02-20 16:00:00,JSherman,11-41-1,LARCENY/O $1500 - FROM MV,2018,16,0,20,,
2018-00017072,1,Francis St  ,2,"Larceny, Other",2018-02-17 12:12:08,WHutchinson,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,12,12,17,-71.415314,41.828109999999995
2017-00111907,1,57 Reynolds Ave,10,"Fraud, Swindle",2017-10-25 11:19:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,11,19,25,-71.41404809999997,41.8050973
2017-00111974,2,16 What Cheer Ave,10,Warrant\Capias,2017-10-25 14:28:00,EGreene,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2017,14,28,25,-71.45607790000003,41.8070292
2017-00111861,1,354 Admiral St,10,"Assault, Aggravated",2017-10-25 08:13:00,JRobles,11-5-1,ASSAULT W/ INTENT TO COMMIT A FELONY - SERIOUS INJURY,2017,8,13,25,-71.4280172,41.845609700000004
2017-00123141,1,333 W  River St,11,"Fraud, Credit Card",2017-11-22 20:06:00,DCastigliego,11-49-4,FRAUDULENT USE OF CREDIT CARDS,2017,20,6,22,-71.4130261636175,41.846255495992104
2017-00105128,0,Chalkstone Avenue ,10,Larceny Theft,2017-10-08 01:07:00,Central Station,Not Used,No violations,2017,1,7,8,-71.41358690000001,41.8364324
2018-00001055,1,161 Petteys Ave,1,"Assault, Simple",2018-01-03 23:54:00,MFadale,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,23,54,3,-71.4611723,41.8174757
2018-00020497,1,1880 Westminster St,2,"Larceny, Other",2018-02-26 17:15:00,Central Station,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,17,15,26,-71.44158940000001,41.8161185
2017-00130505,1,161 Petteys Ave,12,"Assault, Simple",2017-12-13 11:48:23,KLafazia,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,11,48,13,-71.4611723,41.8174757
2018-00020355,0,531 Dexter St,2,Disturbance,2018-02-26 10:53:00,JDalton,Not Used,No violations,2018,10,53,26,-71.43120429999998,41.8018614
2018-00008175,1,Wexchangeatfrancis ,1,Traffic Violation,2018-01-24 01:36:00,RCriner,31-24-4,"Head Lamps on Vehicles, Other Than Cycles",2018,1,36,24,,
2017-00105040,1,5 Dresser St,10,"Assault, Simple",2017-10-07 21:16:00,RMalloy,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,21,16,7,-71.45705799999998,41.8198175
2017-00105040,1,5 Dresser St,10,"Assault, Simple",2017-10-07 21:16:00,RMalloy,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,21,16,7,-71.45705799999998,41.8198175
2017-00105040,1,5 Dresser St,10,"Assault, Simple",2017-10-07 21:16:00,RMalloy,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,21,16,7,-71.45705799999998,41.8198175
2017-00105040,1,5 Dresser St,10,"Assault, Simple",2017-10-07 21:16:00,RMalloy,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,21,16,7,-71.45705799999998,41.8198175
2017-00105040,1,5 Dresser St,10,"Assault, Simple",2017-10-07 21:16:00,RMalloy,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,21,16,7,-71.45705799999998,41.8198175
2017-00105040,1,5 Dresser St,10,"Assault, Simple",2017-10-07 21:16:00,RMalloy,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,21,16,7,-71.45705799999998,41.8198175
2017-00112094,1,Huntington Ave At Dexter St,10,Traffic Violation,2017-10-25 18:30:00,KMatsumoto,31-22-22(g),No seat belt - Operator,2017,18,30,25,,
2017-00104885,1,100 Chester Ave,10,Disorderly Conduct,2017-10-07 14:43:00,Central Station,11-45-1,DISORDERLY CONDUCT,2017,14,43,7,-71.4174311,41.806664700000006
2017-00111799,1,Westminster Statknight St ,10,Traffic Violation,2017-10-25 00:32:00,LFerreras,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",2017,0,32,25,,
2017-00112027,0,49 Olneyville Sq,10,Trespass,2017-10-25 16:25:00,KMelfi,Not Used,No violations,2017,16,25,25,-71.44366746875,41.81663871875
2017-00500371,1,Eagle Square Greenwood Street Ave ,12,Vandalism,2017-12-13 20:25:46,CSical,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,20,25,13,,
2017-00123273,1,17 Gloucester St,11,RI Statute Violation,2017-11-23 04:26:00,JPineau,44-19-27,Do Not Use - Repealed,2017,4,26,23,-71.43791800000002,41.8494342
2017-00130599,2,6 Hawthorne Rd ,12,Warrant\Capias,2017-12-13 16:21:00,DLiu,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2017,16,21,13,-71.5529264583333,41.8801167916667
2018-00000931,0,48 June St,1,Missing Persons,2018-01-03 17:09:00,KMelfi,Not Used,No violations,2018,17,9,3,-71.4242598571429,41.842723
2017-00119665,1,26 Vinton St,11,"Assault, Simple",2017-11-13 20:28:00,TMiller,11-5-3,SIMPLE ASSAULT/BATTERY,2017,20,28,13,-71.429694,41.8232412
2018-00001021,1,Public St At Temple St,1,Vandalism,2018-01-03 21:49:00,PHourahan,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,21,49,3,,
2018-00000948,1,2 Dudley St,1,"Larceny, Other",2018-01-03 17:59:00,MVittorioso,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,17,59,3,-71.4079037,41.8103717
2017-00122814,1,75 Dora St,11,Burglary,2017-11-21 23:32:00,LVadney,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2017,23,32,21,-71.445719,41.8089622
2017-00130685,0,216 Hanover St,12,Medical Aid,2017-12-13 20:09:00,LPelaez,Not Used,No violations,2017,20,9,13,-71.4321558655647,41.8090244728482
2017-00130613,1,1 Providence Pl,12,"Larceny, Shoplifting",2017-12-13 16:53:00,MSheridan,11-41-20,SHOPLIFTING-FELONY - SHOPLIFTING,2017,16,53,13,-71.4166245,41.827677
2017-00121404,1,216 Wallace St,11,Traffic Violation,2017-11-18 11:58:40,FLopez,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,11,58,18,-71.4509806,41.8085628
2017-00130480,1,239 Public St,12,RI Statute Violation,2017-12-13 10:56:00,TRudd,11-37.1-3,SEXUAL OFFENDER REGISTRATION REQUIRED,2017,10,56,13,-71.4087771,41.8071813
2017-00130617,1,335 Hartford Ave,12,Vandalism,2017-12-13 16:59:00,LMarroquin,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,16,59,13,-71.4542975481953,41.8178387716334
2017-00103404,1,135 Harold St,10,Larceny from Motor Vehicle,2017-10-04 07:05:00,RCriner,11-41-1,LARCENY/O $1500 - FROM MV,2017,7,5,4,-71.4386566,41.8306833
2017-00130193,1,Tobey St At Westminster St,12,"Assault, Simple",2017-12-12 15:43:00,NManfredi,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,15,43,12,,
2018-00031199,1,100 Francis St,3,"Larceny, Shoplifting",2018-03-28 19:00:00,GKue,11-41-20,SHOPLIFTING-FELONY - SHOPLIFTING,2018,19,0,28,-71.41577099999998,41.829361999999996
2017-00123216,1,Academy Ave At Molloy St,11,Traffic Violation,2017-11-23 00:49:00,PCaminero,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,0,49,23,,
2017-00112648,1,215 Althea St,10,Vandalism,2017-10-27 10:46:00,NManfredi,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,10,46,27,-71.436835,41.8087839
2018-00007969,1,10 Monticello St,1,Drug Offenses,2018-01-23 15:28:00,ZSilbert,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2018,15,28,23,-71.4214178349905,41.851443059421705
2017-00112070,0,593 Eddy St,10,Lost Article,2017-10-25 18:06:00,Central Station,Not Used,No violations,2017,18,6,25,-71.40937109999999,41.8116811
2017-00112094,1,Huntington Ave At Dexter St,10,Traffic Violation,2017-10-25 18:30:00,KMatsumoto,31-14-3,Conditions Requiring Reduced Speed,2017,18,30,25,,
2018-00020648,1,Broadway  At Tobey St,2,Warrant\Capias,2018-02-27 01:23:00,MGuerra,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2018,1,23,27,,
2017-00112052,1,440 Smithfield Ave,10,"Fraud, Swindle",2017-10-25 17:27:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,17,27,25,-71.41125459999998,41.8577826
2017-00111860,1,31 Wisdom Ave,10,Vandalism,2017-10-25 08:11:00,Central Station,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,8,11,25,-71.4426168,41.8283159
2017-00111909,1,850 Manton Ave,10,"Larceny, Shoplifting",2017-10-25 11:23:00,RKessler,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2017,11,23,25,-71.4655594725393,41.8332507192951
2017-00123195,0,244 Washington Ave,11,Missing Persons,2017-11-22 23:51:00,Central Station,Not Used,No violations,2017,23,51,22,-71.3988958,41.78736
2017-00122955,1,10  At Westminster St,11,Traffic Violation,2017-11-22 10:38:00,KMatsumoto,31-14-1,Failure to Maintain Control,2017,10,38,22,-71.41005246727691,41.8247252354316
2018-00000870,1,Atwells Ave At Valley St,1,Traffic Violation,2018-01-03 14:37:00,KMatsumoto,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,14,37,3,,
